
2025/02/23 (11:07:47) | ===> btop++ v.1.4.0
2025/02/23 (11:07:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (11:08:09) | ===> btop++ v.1.4.0
2025/02/23 (11:08:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (11:08:32) | ===> btop++ v.1.4.0
2025/02/23 (11:08:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (22:25:16) | ===> btop++ v.1.4.0
2025/02/23 (22:25:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (22:28:38) | ===> btop++ v.1.4.0
2025/02/23 (22:28:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (21:47:14) | ===> btop++ v.1.4.0
2025/02/25 (21:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:19:10) | ===> btop++ v.1.4.0
2025/02/26 (01:19:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (07:14:31) | ===> btop++ v.1.4.0
2025/03/01 (07:14:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (02:13:51) | ===> btop++ v.1.4.0
2025/03/14 (02:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (23:07:23) | ===> btop++ v.1.4.0
2025/03/16 (23:07:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (23:07:40) | ===> btop++ v.1.4.0
2025/03/16 (23:07:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (10:11:17) | ===> btop++ v.1.4.0
2025/03/24 (10:11:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (06:28:52) | ===> btop++ v.1.4.0
2025/03/25 (06:28:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (11:05:17) | ===> btop++ v.1.4.0
2025/03/25 (11:05:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (11:59:45) | ===> btop++ v.1.4.0
2025/03/25 (11:59:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (09:07:05) | ===> btop++ v.1.4.0
2025/03/26 (09:07:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (11:06:38) | ===> btop++ v.1.4.0
2025/03/26 (11:06:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (11:06:42) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (11:06:47) | ===> btop++ v.1.4.0
2025/03/26 (11:06:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (11:06:53) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (13:50:19) | ===> btop++ v.1.4.0
2025/03/27 (13:50:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:38:38) | ===> btop++ v.1.4.0
2025/04/01 (14:38:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (17:32:47) | ===> btop++ v.1.4.0
2025/04/01 (17:32:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (16:27:34) | ===> btop++ v.1.4.0
2025/04/03 (16:27:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (15:35:19) | ===> btop++ v.1.4.0
2025/04/06 (15:35:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:18:43) | ===> btop++ v.1.4.0
2025/04/07 (22:18:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:57:27) | ===> btop++ v.1.4.0
2025/04/07 (22:57:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:09:13) | ===> btop++ v.1.4.0
2025/04/08 (15:09:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (22:52:31) | ===> btop++ v.1.4.0
2025/04/09 (22:52:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (17:08:47) | ===> btop++ v.1.4.0
2025/04/10 (17:08:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (23:12:08) | ===> btop++ v.1.4.0
2025/04/10 (23:12:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/10 (23:12:35) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (23:14:32) | ===> btop++ v.1.4.0
2025/04/10 (23:14:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (16:37:34) | ===> btop++ v.1.4.0
2025/04/14 (16:37:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (00:43:28) | ===> btop++ v.1.4.0
2025/04/15 (00:43:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (17:24:51) | ===> btop++ v.1.4.0
2025/04/15 (17:24:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (22:37:51) | ===> btop++ v.1.4.0
2025/04/15 (22:37:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (23:51:25) | ===> btop++ v.1.4.0
2025/04/15 (23:51:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (13:16:55) | ===> btop++ v.1.4.0
2025/04/26 (13:16:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/30 (14:48:18) | ===> btop++ v.1.4.0
2025/04/30 (14:48:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/30 (15:58:52) | WARNING: Failed to join _runner thread on exit!

2025/04/30 (15:58:53) | ===> btop++ v.1.4.0
2025/04/30 (15:58:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (15:26:04) | ===> btop++ v.1.4.0
2025/05/04 (15:26:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (15:29:34) | ===> btop++ v.1.4.0
2025/05/05 (15:29:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/05 (15:38:10) | WARNING: Failed to join _runner thread on exit!
